step,li_err, learning_rate, time_train, time_mc  
 5000, 0.266127, 0.010000, 237.182557, 25.889067   
10000, 0.226864, 0.010000, 222.668176, 25.116711   
15000, 0.298255, 0.010000, 224.142915, 25.120064   
20000, 0.774292, 0.010000, 226.639560, 25.110502   
25000, 0.621393, 0.010000, 226.432226, 25.110223   
30000, 0.599955, 0.010000, 225.800819, 25.107278   
35000, 0.718791, 0.010000, 225.498797, 25.109430   
40000, 1.200689, 0.001000, 225.742853, 25.119019   
45000, 0.293400, 0.001000, 225.557287, 25.110243   
50000, 0.224178, 0.001000, 225.661299, 25.113785   
55000, 0.356552, 0.001000, 227.438888, 25.121785   
60000, 0.060501, 0.001000, 224.856137, 25.107058   
65000, 0.269847, 0.001000, 223.021201, 25.109858   
70000, 0.217032, 0.001000, 223.894419, 25.103585   
75000, 0.094323, 0.001000, 223.197044, 25.101644   
80000, 0.105495, 0.000100, 223.202649, 25.105207   
85000, 0.039635, 0.000100, 224.874378, 25.111341   
90000, 0.033136, 0.000100, 229.088175, 25.116944   
95000, 0.045453, 0.000100, 225.306412, 25.106160   
100000, 0.046943, 0.000100, 223.780704, 25.107344   
105000, 0.046288, 0.000100, 223.602277, 25.108463   
110000, 0.032220, 0.000100, 225.977794, 25.106712   
115000, 0.035379, 0.000100, 224.790350, 25.109554   
120000, 0.023996, 0.000010, 224.425830, 25.106807   
125000, 0.023283, 0.000010, 224.500315, 25.107259   
130000, 0.022553, 0.000010, 223.560457, 25.105584   
135000, 0.034814, 0.000010, 223.760291, 25.107025   
140000, 0.023087, 0.000010, 225.376428, 25.108180   
145000, 0.026170, 0.000010, 227.286601, 25.117860   
150000, 0.029543, 0.000010, 222.373274, 25.100574   
